date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:29	107383/107383	---M-Z	200	added ('OK')	text/html	etag:%221a377-6874d87e-e7390888e8bc9cdd;gz%22	https://html.themexriver.com/forgex/blog-details.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/blog-details.html	(from https://html.themexriver.com/forgex/index.html)
10:08:29	88981/88981	---M-Z	200	added ('OK')	text/html	etag:%2215b95-6874d87e-7ff0183c2bc0a23a;gz%22	https://html.themexriver.com/forgex/contact.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/contact.html	(from https://html.themexriver.com/forgex/index.html)
10:08:30	816941/816941	---M--	200	added ('OK')	image/png	etag:%22c772d-6874d87e-c7cc3b2d73190955;;;%22	https://html.themexriver.com/forgex/assets/img/hero/h1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/hero/h1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:31	208035/208035	---M--	200	added ('OK')	image/png	etag:%2232ca3-6874d87e-92245c8c622b84a5;;;%22	https://html.themexriver.com/forgex/assets/img/hero/h1-img-3.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/hero/h1-img-3.png	(from https://html.themexriver.com/forgex/index.html)
10:08:31	8799252/8799252	---M--	200	added ('OK')	video/mp4	etag:%22864414-6874d87e-1ef7b7b34a0805d;;;%22	https://html.themexriver.com/forgex/assets/img/hero/h1-video-1.mp4	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/hero/h1-video-1.mp4	(from https://html.themexriver.com/forgex/index.html)
10:08:32	328217/328217	---M--	200	added ('OK')	image/png	etag:%2250219-6874d87e-f300ebe19eea7f73;;;%22	https://html.themexriver.com/forgex/assets/img/hero/h1-img-2.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/hero/h1-img-2.png	(from https://html.themexriver.com/forgex/index.html)
10:08:32	43002/43002	---M--	200	added ('OK')	image/png	etag:%22a7fa-6874d87e-9a29a88f499827d4;;;%22	https://html.themexriver.com/forgex/assets/img/serve/s1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/serve/s1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:32	50643/50643	---M--	200	added ('OK')	image/png	etag:%22c5d3-6874d87e-82d0ef213f7ac4de;;;%22	https://html.themexriver.com/forgex/assets/img/serve/s1-img-2.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/serve/s1-img-2.png	(from https://html.themexriver.com/forgex/index.html)
10:08:32	88702/88702	---M--	200	added ('OK')	image/png	etag:%2215a7e-6874d87e-14ce7adc9254073b;;;%22	https://html.themexriver.com/forgex/assets/img/serve/s1-bg-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/serve/s1-bg-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:33	53331/53331	---M--	200	added ('OK')	image/png	etag:%22d053-6874d87e-c36c70d84571c070;;;%22	https://html.themexriver.com/forgex/assets/img/serve/s1-img-3.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/serve/s1-img-3.png	(from https://html.themexriver.com/forgex/index.html)
10:08:33	26735/26735	---M--	200	added ('OK')	image/png	etag:%22686f-6874d87e-91aa921fe0cd0cda;;;%22	https://html.themexriver.com/forgex/assets/img/serve/s1-img-4.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/serve/s1-img-4.png	(from https://html.themexriver.com/forgex/index.html)
10:08:33	24545/24545	---M--	200	added ('OK')	image/png	etag:%225fe1-6874d87e-aae3cea219cc2f5b;;;%22	https://html.themexriver.com/forgex/assets/img/serve/s1-img-5.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/serve/s1-img-5.png	(from https://html.themexriver.com/forgex/index.html)
10:08:33	140147/140147	---M--	200	added ('OK')	image/png	etag:%2222373-6874d87e-a8f7d572170b6e78;;;%22	https://html.themexriver.com/forgex/assets/img/about/a1-bg-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/about/a1-bg-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:33	37388/37388	---M--	200	added ('OK')	image/png	etag:%22920c-6874d87e-1516ba4e3f760bb7;;;%22	https://html.themexriver.com/forgex/assets/img/about/a1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/about/a1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:34	152958/152958	---M--	200	added ('OK')	image/png	etag:%222557e-6874d87e-b68ac496b91599c4;;;%22	https://html.themexriver.com/forgex/assets/img/about/a1-img-2.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/about/a1-img-2.png	(from https://html.themexriver.com/forgex/index.html)
10:08:34	221410/221410	---M--	200	added ('OK')	image/png	etag:%22360e2-6874d87e-58e63e0c12f83e23;;;%22	https://html.themexriver.com/forgex/assets/img/services/s1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/services/s1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:34	108623/108623	---M--	200	added ('OK')	image/png	etag:%221a84f-6874d87e-a282c278dc899961;;;%22	https://html.themexriver.com/forgex/assets/img/services/s1-img-2.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/services/s1-img-2.png	(from https://html.themexriver.com/forgex/index.html)
10:08:35	31617/31617	---M--	200	added ('OK')	image/png	etag:%227b81-6874d87e-91d3c565472a932c;;;%22	https://html.themexriver.com/forgex/assets/img/testimonial/t1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/testimonial/t1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:35	328950/328950	---M--	200	added ('OK')	image/png	etag:%22504f6-6874d87e-4be3c97523836d92;;;%22	https://html.themexriver.com/forgex/assets/img/services/s1-img-3.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/services/s1-img-3.png	(from https://html.themexriver.com/forgex/index.html)
